	expected_outcome_st_no_treatment	expected_outcome_st_all_treatment	y	v
0	0.18852359	0.30043167	1.0	0.25
1	0.5621673	0.70356894	1.0	0.4000000059604645
2	0.89609617	0.9409758	1.0	0.5384615659713745
3	0.0949001	0.16235194	0.0	0.20000000298023224
4	0.11425465	0.19253662	0.0	0.10000000149011612
5	0.040326595	0.07207844	0.0	0.21052631735801697
6	0.20946243	0.32876414	0.0	0.0
7	0.18686295	0.29814744	0.0	0.1111111119389534
8	0.10306752	0.17520082	0.0	0.13793103396892548
9	0.032259583	0.058043838	0.0	0.1666666716337204
10	0.07402867	0.12875614	0.0	0.07894736528396606
11	0.070762366	0.1233969	0.0	0.19130434095859528
12	0.17501831	0.28169248	0.0	0.6666666865348816
13	0.035767972	0.06417051	0.0	0.0784313753247261
14	0.23523596	0.36248624	0.0	0.190476194024086
15	0.0553343	0.0976997	0.0	0.054054055362939835
16	0.33598182	0.48329026	1.0	0.1538461595773697
17	0.10703549	0.1813843	0.0	0.2857142984867096
18	0.0466727	0.08298913	0.0	0.1875
19	0.14356676	0.23656818	0.0	0.2068965584039688
20	0.41961747	0.5720071	1.0	0.0
21	0.058054388	0.10227686	0.0	0.12328767031431198
22	0.10040882	0.17103618	0.0	0.13333334028720856
23	0.07421848	0.12906668	0.0	0.11702127754688263
24	0.13376915	0.2220695	0.0	0.072727270424366
25	0.22597766	0.35051507	0.0	0.0
26	0.27406982	0.4110365	0.0	0.2777777910232544
27	0.1301558	0.2166675	0.0	0.15789473056793213
28	0.02146849	0.038975	0.0	0.1651376187801361
29	0.05591777	0.09868312	0.0	0.12987013161182404
30	0.5119858	0.65978605	1.0	0.3333333432674408
31	0.07620418	0.13231018	0.0	0.043478261679410934
32	0.414259	0.5666024	1.0	0.0
33	0.37322444	0.5239766	0.0	0.28205129504203796
34	0.13027468	0.21684575	0.0	0.2666666805744171
35	0.2025519	0.3195084	0.0	0.20000000298023224
36	0.17700079	0.28446668	0.0	0.125
37	0.03862852	0.06913954	0.0	0.1860465109348297
38	0.017977476	0.032732487	0.0	0.14883720874786377
39	0.30440176	0.4471889	0.0	0.0476190485060215
40	0.074067384	0.1288195	0.0	0.22891566157341003
41	0.08765182	0.15081027	0.0	0.1607142835855484
42	0.22373462	0.34759104	0.0	0.15789473056793213
43	0.13394293	0.22232857	0.0	0.13725490868091583
44	0.13525361	0.22428012	0.0	0.03125
45	0.23320034	0.35986757	0.0	0.125
46	0.24670392	0.3770988	0.0	0.800000011920929
47	0.55062	0.6937192	1.0	0.0476190485060215
48	0.5713765	0.7113312	1.0	0.3333333432674408
49	0.647041	0.7721422	1.0	0.07692307978868484
50	0.11683914	0.19649914	0.0	0.125
51	0.14108607	0.23291758	0.0	0.05882352963089943
52	0.17460015	0.28110635	0.0	0.10000000149011612
53	0.49070203	0.64042115	1.0	0.0
54	0.76835537	0.85977674	1.0	0.3571428656578064
55	0.035321772	0.063393295	0.0	0.11538461595773697
56	0.7830773	0.86967397	1.0	0.1666666716337204
57	0.072630286	0.12646517	0.0	0.11428571492433548
58	0.18874452	0.3007351	1.0	0.145454540848732
59	0.7294538	0.8328891	1.0	0.18000000715255737
60	0.35284197	0.50195456	0.0	0.20000000298023224
61	0.39788315	0.5498576	1.0	0.6000000238418579
62	0.4438783	0.5960304	1.0	0.12328767031431198
63	0.15628591	0.25507277	0.0	0.095238097012043
64	0.46787015	0.619091	1.0	0.2291666716337204
65	0.12575802	0.21005258	0.0	0.095238097012043
66	0.12677953	0.21159306	0.0	0.2461538463830948
67	0.28348005	0.422413	0.0	0.5
68	0.17626345	0.28343585	0.0	0.2857142984867096
69	0.65362203	0.7771938	1.0	0.5
70	0.8601016	0.91912544	1.0	0.2380952388048172
71	0.16962692	0.2741068	0.0	0.1666666716337204
72	0.10141295	0.17261109	0.0	0.2222222238779068
73	0.09757504	0.16657817	0.0	0.1489361673593521
74	0.15890431	0.25883844	0.0	0.0
75	0.061297268	0.10770756	0.0	0.15555556118488312
76	0.070993185	0.123776525	0.0	0.18918919563293457
77	0.16412082	0.26629692	0.0	0.21739129722118378
78	0.72649896	0.83080184	1.0	0.1320754736661911
79	0.096377105	0.16468772	0.0	0.21052631735801697
80	0.060843617	0.10694945	0.0	0.18571428954601288
81	0.5843967	0.7221674	1.0	0.1071428582072258
82	0.5830828	0.7210811	1.0	0.13333334028720856
83	0.14063028	0.23224536	0.0	0.1666666716337204
84	0.15517971	0.2534774	0.0	0.1666666716337204
85	0.008732766	0.016024023	0.0	0.14685314893722534
86	0.026803583	0.048445344	0.0	0.1463414579629898
87	0.38509905	0.5365417	1.0	0.0
88	0.35701257	0.50650823	0.0	0.20000000298023224
89	0.23462161	0.36169672	0.0	0.27272728085517883
90	0.07609379	0.13213009	0.0	0.1875
91	0.13862303	0.22927931	0.0	0.1071428582072258
92	0.5572711	0.69940853	1.0	0.375
93	0.16279992	0.26441383	0.0	0.0
94	0.513997	0.6615908	1.0	0.3333333432674408
95	0.026198506	0.04737541	0.0	0.06666667014360428
96	0.95424426	0.9747164	1.0	0.40740740299224854
97	0.5067197	0.6550403	1.0	0.6666666865348816
98	0.30697924	0.45019296	1.0	0.0
99	0.7183667	0.8250239	1.0	0.1595744639635086
100	0.1080448	0.18295088	0.0	0.15789473056793213
101	0.12833014	0.21392685	0.0	0.15000000596046448
102	0.58418566	0.7219929	1.0	0.10256410390138626
103	0.03799063	0.068033665	0.0	0.14666666090488434
104	0.6504544	0.7747668	1.0	0.3499999940395355
105	0.029925764	0.05394876	0.0	0.1599999964237213
106	0.04723236	0.08394587	0.0	0.18333333730697632
107	0.4041134	0.55626917	1.0	0.15000000596046448
108	0.05270633	0.09325838	0.0	0.125
109	0.0330424	0.05941397	0.0	0.12820513546466827
110	0.08250007	0.1425263	0.0	0.25
111	0.5188582	0.66593516	1.0	0.24193547666072845
112	0.017795503	0.03240612	0.0	0.13793103396892548
113	0.022430867	0.0406895	0.0	0.1149425283074379
114	0.24417788	0.37390032	0.0	0.4000000059604645
115	0.2734707	0.41030717	0.0	0.0
116	0.11880645	0.19950476	0.0	0.13513512909412384
117	0.22739577	0.35235894	0.0	0.3571428656578064
118	0.049017638	0.086992145	0.0	0.20000000298023224
119	0.036500514	0.065445274	0.0	0.1595744639635086
120	0.12858602	0.21431148	0.0	0.1111111119389534
121	0.057852328	0.10193753	0.0	0.1846153885126114
122	0.08687657	0.1495679	0.0	0.3333333432674408
123	0.0128645	0.02352357	0.0	0.14754098653793335
124	0.13156569	0.21877894	0.0	0.15000000596046448
125	0.02280879	0.041362196	0.0	0.18644067645072937
126	0.0935885	0.16027316	0.0	0.18421052396297455
127	0.120438784	0.20199162	0.0	0.1355932205915451
128	0.117201895	0.19705403	0.0	0.0555555559694767
129	0.080453426	0.13921645	0.0	0.23076923191547394
