	expected_outcome_st_no_treatment	expected_outcome_st_all_treatment	y	v
0	0.21217147	0.30340666	1.0	0.25
1	0.4567115	0.57619417	1.0	0.800000011920929
2	0.71506196	0.8023196	1.0	0.4615384638309479
3	0.057412893	0.089675605	0.0	0.11999999731779099
4	0.07815629	0.12058446	0.0	0.1599999964237213
5	0.765726	0.8409202	1.0	0.28947368264198303
6	0.23469424	0.33153868	1.0	0.5
7	0.637393	0.73977983	1.0	0.4444444477558136
8	0.76011974	0.83672976	1.0	0.517241358757019
9	0.9156246	0.94609344	1.0	0.5
10	0.04959166	0.07782227	0.0	0.02631578966975212
11	0.8785982	0.9212882	1.0	0.365217387676239
12	0.58445406	0.69462734	1.0	0.6666666865348816
13	0.04119265	0.064968824	0.0	0.11764705926179886
14	0.7335003	0.81656	1.0	0.380952388048172
15	0.67315483	0.76910186	1.0	0.3243243098258972
16	0.32073262	0.43299323	0.0	0.38461539149284363
17	0.8101624	0.8734511	1.0	0.4285714328289032
18	0.66005504	0.7584678	1.0	0.28125
19	0.9240382	0.9516293	1.0	0.36781609058380127
20	0.29458725	0.4031276	1.0	0.8333333134651184
21	0.8863275	0.9265268	1.0	0.36986300349235535
22	0.64108574	0.7428506	1.0	0.2666666805744171
23	0.9124657	0.9440054	1.0	0.44680851697921753
24	0.92598784	0.95290685	1.0	0.41818180680274963
25	0.078681946	0.12135786	0.0	0.06666667014360428
26	0.6342158	0.7371298	1.0	0.3333333432674408
27	0.7544913	0.8325027	1.0	0.42105263471603394
28	0.9120792	0.94374967	1.0	0.3669724762439728
29	0.027957082	0.04444787	0.0	0.11688311398029327
30	0.3303066	0.44372913	1.0	0.6666666865348816
31	0.107830346	0.16351017	0.0	0.15217390656471252
32	0.063004464	0.09808242	0.0	0.0
33	0.91338193	0.94461167	1.0	0.5384615659713745
34	0.80419827	0.8691542	1.0	0.3333333432674408
35	0.8120435	0.874802	1.0	0.6666666865348816
36	0.9616202	0.9759164	1.0	0.44999998807907104
37	0.7464167	0.8264035	1.0	0.44186046719551086
38	0.14402023	0.2139068	0.0	0.12093023210763931
39	0.7865658	0.85632616	1.0	0.3333333432674408
40	0.65563875	0.75485516	1.0	0.14457830786705017
41	0.031558692	0.050064474	0.0	0.1428571492433548
42	0.51691467	0.6337741	0.0	0.4912280738353729
43	0.020240784	0.032331467	0.0	0.05882352963089943
44	0.043074727	0.067860305	0.0	0.03125
45	0.081587315	0.12562424	0.0	0.0625
46	0.4353673	0.55496997	1.0	0.20000000298023224
47	0.24308729	0.34184802	0.0	0.2380952388048172
48	0.054994494	0.08602232	0.0	0.1111111119389534
49	0.09437087	0.14422417	1.0	0.0
50	0.053984493	0.08449331	0.0	0.0
51	0.018692672	0.029886812	0.0	0.05882352963089943
52	0.03843102	0.060714126	0.0	0.17499999701976776
53	0.0705221	0.109297335	1.0	0.09090909361839294
54	0.05858496	0.091442496	0.0	0.0714285746216774
55	0.01819688	0.029102832	0.0	0.11538461595773697
56	0.13641745	0.20349178	1.0	0.4166666567325592
57	0.027158976	0.043199927	0.0	0.17142857611179352
58	0.3340533	0.44790193	0.0	0.290909081697464
59	0.15651873	0.2308346	1.0	0.07999999821186066
60	0.49877122	0.6167657	1.0	0.20000000298023224
61	0.6288093	0.7326031	1.0	0.4000000059604645
62	0.43695748	0.5565664	1.0	0.1780821979045868
63	0.031253994	0.04959032	0.0	0.190476194024086
64	0.9214704	0.94994366	1.0	0.4375
65	0.070964724	0.10995439	0.0	0.190476194024086
66	0.045766413	0.07198423	0.0	0.20000000298023224
67	0.5417176	0.65656346	1.0	0.3333333432674408
68	0.09635335	0.14708391	1.0	0.0476190485060215
69	0.59076273	0.70012164	1.0	0.25
70	0.86332643	0.9108417	1.0	0.5
71	0.11330837	0.17127386	0.0	0.12962962687015533
72	0.081106156	0.12491861	0.0	0.1269841343164444
73	0.07875693	0.12146819	0.0	0.10638298094272614
